arodes_int_num	adress_forest	a_year	arodes_typ_cd
1704000240	17-04-1-01-18    -h   -00	2023	WYDZIEL  
1704000244	17-04-1-01-18    -j   -00	2023	WYDZIEL  
1704000246	17-04-1-01-18    -k   -00	2023	WYDZIEL  
1704000248	17-04-1-01-18    -l   -00	2023	WYDZIEL  
1704000249	17-04-1-01-19    -    -  	2023	ODDZ     
1704000253	17-04-1-01-19    -b   -00	2023	WYDZIEL  
1704000257	17-04-1-01-19    -d   -00	2023	WYDZIEL  
1704000259	17-04-1-01-19    -f   -00	2023	WYDZIEL  
1704000261	17-04-1-01-19    -g   -00	2023	WYDZIEL  
1704000265	17-04-1-01-19    -h   -00	2023	WYDZIEL  
1704000266	17-04-1-01-20    -    -  	2023	ODDZ     
1704000268	17-04-1-01-20    -a   -00	2023	WYDZIEL  
1704000270	17-04-1-01-20    -b   -00	2023	WYDZIEL  
1704000272	17-04-1-01-20    -c   -00	2023	WYDZIEL  
1704000278	17-04-1-01-20    -g   -00	2023	WYDZIEL  
1704000282	17-04-1-01-20    -i   -00	2023	WYDZIEL  
1704000284	17-04-1-01-20    -l   -00	2023	WYDZIEL  
1704000286	17-04-1-01-20    -m   -00	2023	WYDZIEL  
1704000288	17-04-1-01-20    -n   -00	2023	WYDZIEL  
1704000289	17-04-1-01-21    -    -  	2023	ODDZ     
1704000293	17-04-1-01-21    -b   -00	2023	WYDZIEL  
1704000297	17-04-1-01-21    -f   -00	2023	WYDZIEL  
1704000299	17-04-1-01-21    -j   -00	2023	WYDZIEL  
1704000301	17-04-1-01-21    -h   -00	2023	WYDZIEL  
1704000303	17-04-1-01-21    -i   -00	2023	WYDZIEL  
1704000305	17-04-1-01-21    -k   -00	2023	WYDZIEL  
1704000307	17-04-1-01-21    -l   -00	2023	WYDZIEL  
1704000308	17-04-1-01-22    -    -  	2023	ODDZ     
1704000312	17-04-1-01-22    -b   -00	2023	WYDZIEL  
1704000313	17-04-1-01-23    -    -  	2023	ODDZ     
1704000315	17-04-1-01-23    -a   -00	2023	WYDZIEL  
1704000317	17-04-1-01-23    -b   -00	2023	WYDZIEL  
1704000319	17-04-1-01-23    -c   -00	2023	WYDZIEL  
1704000321	17-04-1-01-23    -d   -00	2023	WYDZIEL  
1704000323	17-04-1-01-23    -f   -00	2023	WYDZIEL  
1704000325	17-04-1-01-23    -g   -00	2023	WYDZIEL  
1704000327	17-04-1-01-23    -h   -00	2023	WYDZIEL  
1704000329	17-04-1-01-23    -j   -00	2023	WYDZIEL  
1704000332	17-04-1-01-24    -    -  	2023	ODDZ     
1704000346	17-04-1-01-24    -c   -00	2023	WYDZIEL  
1704000347	17-04-1-01-25    -    -  	2023	ODDZ     
1704000349	17-04-1-01-25    -a   -00	2023	WYDZIEL  
