site_int_num	arodes_int_num	prot_site_cd	prot_site_state	a_year
257	1704001868	9170	B	2023
259	1704001880	91E0	C	2023
260	1704001885	9170	B	2023
261	1704001887	9170	C	2023
262	1704001889	9170	C	2023
1437	1704001891	9170	C	2023
264	1704001893	9170	B	2023
271	1704001906	9170	C	2023
530	1704001998	9170	B	2023
531	1704002003	9170	B	2023
1279	1704002017	91D0	A	2023
537	1704002032	9170	C	2023
538	1704002036	91D0	A	2023
541	1704002043	9170	C	2023
543	1704002045	9170	C	2023
544	1704002047	9170	C	2023
545	1704002049	9170	C	2023
546	1704002051	9170	C	2023
547	1704002053	9170	B	2023
548	1704002059	9170	B	2023
549	1704002063	9170	C	2023
550	1704002066	9170	C	2023
551	1704002068	9170	C	2023
552	1704002070	9170	B	2023
556	1704002089	9170	C	2023
558	1704002097	9170	C	2023
559	1704002099	9170	C	2023
560	1704002105	9170	C	2023
561	1704002111	9170	B	2023
562	1704002113	9170	C	2023
563	1704002120	9170	A	2023
565	1704002124	9170	C	2023
564	1704002128	9170	C	2023
567	1704002132	9170	B	2023
568	1704002137	9170	B	2023
569	1704002141	9170	C	2023
571	1704002143	9170	B	2023
572	1704002145	9170	C	2023
1428	1704002147	9170	B	2023
574	1704002151	9170	C	2023
575	1704002160	9170	C	2023
1204	1704002162	9170	C	2023
1213	1704002164	9170	C	2023
576	1704002168	9170	C	2023
579	1704002192	91D0	C	2023
580	1704002201	9170	C	2023
581	1704002205	91D0	C	2023
583	1704002210	9170	C	2023
584	1704002214	9170	B	2023
586	1704002223	9170	C	2023
589	1704002234	9170	C	2023
1354	1704002236	9170	C	2023
591	1704002238	9170	C	2023
1448	1704002243	9170	A	2023
593	1704002245	9170	C	2023
595	1704002247	9170	C	2023
1449	1704002249	9170	C	2023
596	1704002251	9170	C	2023
597	1704002253	9170	B	2023
601	1704002258	9170	B	2023
602	1704002260	9170	C	2023
606	1704002274	9170	C	2023
607	1704002280	9170	B	2023
326	1704002283	9170	C	2023
327	1704002285	9170	C	2023
328	1704002291	9170	C	2023
329	1704002293	9170	C	2023
330	1704002295	9170	B	2023
331	1704002302	9170	B	2023
332	1704002306	9170	B	2023
333	1704002308	9170	C	2023
381	1704002310	9170	B	2023
1330	1704002312	9170	C	2023
335	1704002314	9170	B	2023
336	1704002316	9170	C	2023
1331	1704002319	9170	C	2023
338	1704002323	9170	C	2023
339	1704002329	9170	B	2023
1332	1704002342	9170	C	2023
343	1704002348	9170	B	2023
344	1704002355	9170	C	2023
345	1704002357	9170	C	2023
346	1704002359	9170	C	2023
347	1704002361	9170	B	2023
348	1704002366	9170	B	2023
349	1704002368	9170	C	2023
350	1704002370	9170	C	2023
351	1704002372	9170	B	2023
352	1704002374	9170	B	2023
353	1704002383	9170	C	2023
354	1704002385	9170	C	2023
355	1704002389	9170	B	2023
356	1704002398	9170	C	2023
357	1704002402	9170	C	2023
1438	1704002404	9170	C	2023
359	1704002406	9170	C	2023
360	1704002410	9170	C	2023
361	1704002412	9170	C	2023
1439	1704002414	9170	C	2023
363	1704002416	9170	C	2023
364	1704002418	9170	C	2023
365	1704002420	9170	C	2023
366	1704002422	9170	C	2023
367	1704002424	9170	A	2023
369	1704002428	9170	C	2023
371	1704002430	9170	C	2023
372	1704002432	91E0	C	2023
1333	1704002439	9170	C	2023
375	1704002441	9170	B	2023
1274	1704002445	9170	C	2023
377	1704002447	9170	C	2023
378	1704002451	9170	C	2023
456	1704002466	9170	C	2023
382	1704002470	9170	C	2023
1334	1704002472	9170	C	2023
442	1704002485	9170	C	2023
443	1704002487	9170	C	2023
444	1704002513	9170	B	2023
491	1704002525	9170	B	2023
446	1704002533	9170	C	2023
447	1704002536	9170	C	2023
448	1704002538	9170	B	2023
449	1704002542	9170	C	2023
1442	1704002546	9170	C	2023
451	1704002550	9170	B	2023
452	1704002563	9170	C	2023
453	1704002565	9170	C	2023
454	1704002567	9170	A	2023
455	1704002582	9170	B	2023
458	1704002584	9170	C	2023
459	1704002608	9170	C	2023
460	1704002616	91D0	C	2023
461	1704002619	9170	C	2023
462	1704002632	9190	C	2023
463	1704002638	9190	C	2023
514	1704002645	9170	C	2023
515	1704002647	9170	C	2023
518	1704002651	9170	C	2023
516	1704002653	9170	C	2023
520	1704002655	9170	C	2023
523	1704002660	9170	C	2023
524	1704002662	9170	C	2023
1444	1704002664	9170	C	2023
526	1704002666	9170	C	2023
527	1704002668	9170	C	2023
529	1704002679	9170	C	2023
384	1704002705	9170	C	2023
387	1704002712	9170	C	2023
388	1704002715	9170	C	2023
389	1704002717	9170	C	2023
393	1704002732	9170	B	2023
397	1704002752	9170	C	2023
398	1704002759	9170	C	2023
399	1704002763	9170	C	2023
400	1704002766	9170	C	2023
401	1704002770	9170	C	2023
402	1704002775	9170	C	2023
403	1704002779	91E0	C	2023
406	1704002803	9170	C	2023
413	1704002820	9170	C	2023
414	1704002822	9170	C	2023
415	1704002844	9170	C	2023
1275	1704002846	91D0	C	2023
416	1704002848	9170	C	2023
457	1704002850	9170	C	2023
417	1704002852	9170	C	2023
418	1704002857	9170	C	2023
494	1704002861	9170	C	2023
493	1704002863	9170	C	2023
490	1704002865	9170	B	2023
1219	1704002869	9170	B	2023
495	1704002876	9170	C	2023
1440	1704002880	9170	C	2023
420	1704002884	9170	C	2023
1335	1704002886	9170	C	2023
422	1704002888	9170	C	2023
424	1704002893	91E0	B	2023
425	1704002895	9170	C	2023
1221	1704002906	9170	C	2023
430	1704002909	9170	C	2023
431	1704002911	9170	C	2023
432	1704002913	9170	C	2023
1336	1704002915	9170	C	2023
434	1704002918	9170	C	2023
435	1704002920	9170	C	2023
1441	1704002922	9170	C	2023
1337	1704002924	9170	B	2023
438	1704002929	9170	C	2023
439	1704002937	9170	C	2023
1426	1704002970	9170	A	2023
465	1704002972	9170	C	2023
466	1704002975	9170	C	2023
1432	1704002977	9170	C	2023
468	1704002979	9170	C	2023
469	1704002981	9170	B	2023
1427	1704002983	9170	B	2023
471	1704002985	9170	C	2023
474	1704003041	9170	C	2023
475	1704003043	9170	C	2023
476	1704003045	9170	B	2023
1338	1704003058	9170	C	2023
478	1704003060	9170	B	2023
1227	1704003064	9170	C	2023
480	1704003067	9170	B	2023
481	1704003069	9170	B	2023
482	1704003071	9170	C	2023
483	1704003073	9170	C	2023
484	1704003075	9170	C	2023
1339	1704003077	9170	C	2023
486	1704003079	9170	C	2023
487	1704003081	9170	C	2023
488	1704003083	9170	C	2023
489	1704003085	9170	B	2023
496	1704003096	9170	C	2023
497	1704003098	9170	C	2023
498	1704003100	9170	C	2023
499	1704003104	9170	C	2023
501	1704003108	9170	B	2023
502	1704003112	9170	B	2023
504	1704003147	9170	C	2023
1443	1704003151	9170	C	2023
507	1704003166	9170	C	2023
1278	1704003168	9170	B	2023
509	1704003170	9170	B	2023
511	1704003172	9170	C	2023
510	1704003174	9170	C	2023
512	1704003176	9170	C	2023
513	1704003180	9170	C	2023
1203	1704003182	9170	B	2023
1429	1704003185	9170	B	2023
610	1704003187	9170	C	2023
611	1704003190	9170	C	2023
612	1704003192	9170	C	2023
613	1704003194	9170	C	2023
