arodes_int_num	a_year	site_nr	measure_cd	urgency	cutting_nr	cutting_area	large_timber_perc	cue_rank_order
1704000236	2023	1	TPP      	N		2.41		1
1704000240	2023	1	TWP      	N		2.49		1
1704000145	2023	1	TPP      	N		7.47		1
1704000153	2023	1	TPP      	N		2.42		1
1704000490	2023	1	TPP      	N		1.16		1
1704000494	2023	1	TWP      	N		1.92		1
1704000497	2023	1	TPP      	N		2.3		1
1704000499	2023	1	TPP      	N		1.64		1
1704000501	2023	1	TPP      	N		1.37		1
1704000503	2023	1	TPP      	N		0.83		1
1704000505	2023	1	IIIB     	N		8.75	50	1
1704000505	2023	1	AGROT    	N		2.63		2
1704000505	2023	1	ODN-ZŁOŻ 	N		2.63		3
1704000505	2023	1	CP       	N		2.63		4
1704000508	2023	1	CW       	N		1.16		1
1704000508	2023	1	CP       	N		0.5		2
1704000510	2023	1	IIA      	N		1.41	50	1
1704000510	2023	1	AGROT    	N		1.41		2
1704000510	2023	1	ODN-ZŁOŻ 	N		1.41		3
1704000512	2023	1	TPP      	N		4.85		1
1704000514	2023	1	TPP      	N		1.24		1
1704000516	2023	1	TPP      	N		2.2		1
1704000518	2023	1	IIIA     	N		2.93	30	1
1704000518	2023	1	AGROT    	N		0.88		2
1704000518	2023	1	ODN-ZŁOŻ 	N		0.88		3
1704000520	2023	1	IIIA     	N		3.67	30	1
1704000520	2023	1	AGROT    	N		1.1		2
1704000520	2023	1	ODN-ZŁOŻ 	N		1.1		3
1704000522	2023	1	TPP      	N		4.52		1
1704000525	2023	1	TWP      	N		2.99		1
1704000527	2023	1	AGROT    	N		1.11		1
1704000527	2023	1	ODN-ZŁOŻ 	N		1.11		2
1704000426	2023	1	TPP      	N		2.65		1
1704000428	2023	1	TPP      	N		1.39		1
1704000430	2023	1	TPP      	N		1.69		1
1704000432	2023	1	TPP      	N		1.71		1
1704000438	2023	1	TWP      	N		0.62		1
1704000654	2023	1	TPP      	N		1.27		1
1704000531	2023	1	IIIBU    	N		8.12	95	1
1704000531	2023	1	AGROT    	N		3.37		2
1704000531	2023	1	ODN-ZŁOŻ 	N		3.37		3
1704000531	2023	1	CW       	N		2.44		4
1704000531	2023	1	CP       	N		2.31		5
1704000658	2023	1	PIEL     	N		0.61		1
1704000533	2023	1	AGROT    	N		0.88		1
1704000533	2023	1	ODN-ZŁOŻ 	N		0.88		2
1704000444	2023	1	TPP      	N		2.29		1
1704000662	2023	1	TPP      	N		2.07		1
1704000537	2023	1	TPP      	N		2.74		1
1704000574	2023	1	CP       	N		5.05		1
1704000447	2023	1	TPP      	N		2.92		1
1704000576	2023	1	IIIBU    	N		5.74	95	1
1704000576	2023	1	AGROT    	N		2.32		2
1704000576	2023	1	ODN-ZŁOŻ 	N		2.32		3
1704000576	2023	1	PIEL     	N		1.72		4
1704000576	2023	1	CP       	N		1.7		5
1704000578	2023	1	CP       	N		5.38		1
1704000667	2023	1	TPP      	N		0.85		1
1704000669	2023	1	TPP      	N		1.52		1
1704000539	2023	1	CP       	N		0.27		1
1704000539	2023	1	PIEL     	N		0.43		2
1704000541	2023	1	TPP      	N		1.12		1
1704000544	2023	1	IIIBU    	N		3.01	95	1
1704000544	2023	1	AGROT    	N		1.33		2
1704000544	2023	1	ODN-ZŁOŻ 	N		1.33		3
1704000544	2023	1	PIEL     	N		0.84		4
1704000544	2023	1	CP       	N		0.84		5
1704000546	2023	1	PIEL     	N		2.69		1
1704000731	2023	1	TPP      	N		0.98		1
1704000584	2023	1	IIIBU    	N		5.14	95	1
1704000584	2023	1	AGROT    	N		2.06		2
1704000584	2023	1	ODN-ZŁOŻ 	N		2.06		3
