arodes_int_num	a_year	density_cd	mixture_cd	standdensity_index	tree_stock_cd	st_rank_order_act	storey_cd
1704000261	2023	PEŁ 		0.9	DUŻE   	1	DRZEW   
1704000261	2023			0.8		2	PODSZ   
1704000265	2023	UM  		0.9	UM PRZ 	1	DRZEW   
1704000265	2023			0.6		2	PODSZ   
1704000268	2023	PRZ 	GRP 	0.7	PRZ UM 	1	DRZEW   
1704000268	2023			0.7		2	PODSZ   
1704000270	2023	PRZ 	GRP 	0.8	PRZ UM 	1	DRZEW   
1704000270	2023			0.7		2	PODSZ   
1704000272	2023	UM  	KĘP 	1.2	UM DUŻE	1	DRZEW   
1704000272	2023			0.3		2	PODSZ   
1704000272	2023					3	PRZES   
1704000278	2023	PRZ 	KĘP 	1.0	PRZ UM 	1	DRZEW   
1704000278	2023			0.6		2	PODSZ   
1704000278	2023					3	PRZES   
1704000282	2023			0.1		1	PODSZ   
1704000282	2023					2	PRZES   
1704000177	2023	PRZ 	KĘP 	0.7	PRZ UM 	1	DRZEW   
1704000177	2023			0.6		2	PODSZ   
1704000177	2023					3	PRZES   
1704000179	2023	PRZ 	GRP 	0.7	PRZ UM 	1	DRZEW   
1704000179	2023			0.7		2	PODSZ   
1704000181	2023	PRZ 	GRP 	0.7	PRZ UM 	1	DRZEW   
1704000181	2023			0.7		2	PODSZ   
1704000192	2023	UM  		0.8	UM PRZ 	1	DRZEW   
1704000192	2023			0.7		2	PODSZ   
1704000194	2023	PRZ 	DKĘP	0.6	PRZ UM 	1	DRZEW   
1704000194	2023			0.9		2	PODSZ   
1704000196	2023			0.4		2	PODSZ   
1704000196	2023	UM  		0.9	UM PRZ 	1	DRZEW   
1704000198	2023			0.6		2	PODSZ   
1704000198	2023	PRZ 		0.8	PRZ UM 	1	DRZEW   
1704000200	2023	PEŁ 	KĘP 	1.0	DUŻE   	1	DRZEW   
1704000200	2023			0.5		2	PODSZ   
1704000200	2023					3	PRZES   
1704000202	2023	UM  	GRP 	0.7	UM PRZ 	1	DRZEW   
1704000202	2023			0.7		2	PODSZ   
1704000204	2023	PRZ 		0.8	PRZ UM 	1	DRZEW   
1704000204	2023			0.7		2	PODSZ   
1704000207	2023	UM  	KĘP 	0.7	UM PRZ 	1	DRZEW   
